"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1061","2026-03-05","5:00 PM","6:00 PM","Analyzing election data with Polars and Python","Polars is a modern dataframe library for Python that's fast, focussed, and easy to use. At the Financial Times, Polars has been an essential component in our live election results pipelines and our computational investigations. Polars has many advantages over the older pandas dataframe library, including speed and type safety. But perhaps the biggest benefit is that it has a simple, logical, and memorable API that makes it much more enjoyable to use. Working with tabular data in Polars feels as easy and expressive as it does with R's tidyverse. In this session we will use election results data to teach the fundamentals of analysing tabular data with Polars, including: •⁠ ⁠Loading and saving data •⁠ ⁠Selecting columns •⁠ ⁠Filtering rows •⁠ ⁠Sorting dataframes •⁠ ⁠Creating new columns by combining and calculating values from existing columns •⁠ ⁠Grouping rows and aggregating their data •⁠ ⁠Using joins to combine two or more dataframes We will teach these skills through examples of how we have used the library in original data journalism work. This session is good for people with Python experience. Laptops will be provided.","false","Hands-on","Intermediate","Oliver Hawkins, Financial Times; Eade Hemingway, Financial Times","Data analysis","104","OSX","1",""
"1101","2026-03-05","5:00 PM","6:00 PM","AI agents and pipelines with no-code tools","Want an automatic digest of news on your beat or what your city council has been up to? Get pinged on Slack with a summary when an editor takes a pass at your story? All without touching a line of code? In this session we'll learn to use no-code AI pipeline tools like n8n and ActivePieces to automate journalistic processes. Learn what agents and pipelines are, what they do, and the bevy of vocabulary and technical terms you'll need to put your own workflows to... work! - What APIs are and how they can supercharge your workflow - Schedule monthly, weekly, or hourly automatic processes - How to set up and use webhooks to trigger actions - Differences between providers and models - Unraveling technical settings like temperature and structured output Participants will learn the fundamental basics of how no-code AI pipeline tools work and integrate with other services, and will be well-prepared to start exploring on their own. This session is good for people with some experience working with data. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Jonathan Soma, Columbia University","AI","202","BYO","2",""
"1113","2026-03-05","5:00 PM","6:00 PM","Free or cheap web-scraping tools - no coding required!","In this demo, we will go over a range of free or cheap scraping tools that reporters can use to scrape websites without programming. Some of those include Chrome extensions- Instant Data Scraper and WebScraper- as well as scraping with Google sheets. This session is good for beginners. Attendees will need to bring their own laptop (no tablets) to participate in this demo class.","false","Hands-on","Beginner","Aïcha Camara, McClatchy; Alexandra Glorioso, Miami Herald","Tools & Tech","201","BYO","2",""
"1252","2026-03-05","5:00 PM","6:00 PM","Finding and using undocumented APIs","This tutorial will introduce reporters to an exciting and often overlooked data source found on every website. You will learn how to find and use hidden APIs as a reporting resource, and hear about how this data source has been used in past reporting. We'll be working off this scripted documented: https://inspectelement.org/apis This session is for reporters who want to diversify their data sources. You don't need to write code: we'll teach participants to find hidden APIs in your web browser, but knowing some coding will let you to unlock detailed and rich datasets hidden in plain sight. Laptops will be provided.","false","Hands-on","Beginner","Piotr Sapiezynski, Northeastern University","Data analysis","203","PC","2",""
"1304","2026-03-05","5:00 PM","6:00 PM","Monitoring police accountability laws across the U.S.","Led by California and New York, states across the U.S. have begun adopting laws to give the public access to police accountability data, including use-of-force and discipline records. But what's available varies by state, and there are no central repositories for tracking problem police officers (and some agencies fail to access what is available). In addition, laws that are intended to make sure problem police never work in law enforcement again are riddled with inconsistent application. This panel will take a deeper look at the documents and data across the country, and the stories reporters have done in multiple states to illuminate what has previously been shielded from the public. We dig into how we went about forming news/university/private partnerships to report on unevenly enforced police discipline, and how you could execute a similar project with the data and documents in your state. This panel was planned in conjunction with ""Utilizing new police misconduct and employment databases,"" scheduled for Friday at 9:00 a.m. This panel will focus on changing laws, data partnerships and developing stories; the next panel will give specific how-tos using available data.","true","Panel","Beginner","David Robinson, Rochester Democrat and Chronicle; Katey Rusch, UC Berkeley; Sam Stecklow, Invisible Institute; Sarah Taddeo, USA TODAY Network; Jodi Upton, Syracuse University","Beat reporting, Story ideas","White River B","","1",""
"1330","2026-03-05","5:00 PM","6:00 PM","We're funny (and managers), ask us anything: career, networking, mentorship","Name just about any kind of newroom, job, story or industry crisis and these powerhouse journalists have been there, done it and survived - stronger and better than ever! They'll share all their best tips for working through tough times and making it as a journalist, finding and telling the best stories, how to make your IRE membership work for you and more. We'll save lots of time at the end for questions and some lively networking before the opening reception.","true","Panel","Beginner","Diana Fuentes, Investigative Reporters & Editors; Cindy Galli, MS Now; Kate Howard, Reveal from The Center for Investigative Reporting","Career","White River E","","1",""
"1340","2026-03-05","5:00 PM","6:00 PM","What your newsroom knows (but can't find)","Newsroom archives hold decades of reporting. They represent thousands of sources, events and institutional knowledge built over the years. And yet they're incredibly unwieldy and difficult to leverage. How many of you search your own newsroom's archives through Google? In this panel, we'll walk you through how we built Subline, an end-to-end system that extracts knowledge graphs from newsroom archives. We'll demonstrate how it supports smarter archive search, article link prediction, multi-step investigative queries, and better reader-facing recommendations.","true","Panel","Beginner","Avery Wallace Louis, Stanford University; Hannah Woodworth, Stanford Univeristy; Lucy Zimmerman, Stanford University","Tools & Tech, Story ideas","White River D","","1",""
"1359","2026-03-05","5:00 PM","6:00 PM","Google Trends for election coverage","Learn how to use Google Trends to track search interest in real-time and support election coverage. We'll show you how to watch for major spikes in searches, get national and regional-level data and use search insights to find inspiration for your next story. This session is sponsored by Google Trends. IRE retains control of content, including the topic and speaker selection, for all conference sessions.","true","Demo","Beginner","Alejandra Arevalo Zuniga, Google","Tools & Tech, Story ideas","White River G","","1",""
"1312","2026-03-05","6:00 PM","7:15 PM","Welcome reception","Reconnect with longtime friends and make some new NICAR connections. The reception includes a ticket for a complimentary drink and light appetizers will be available. We hope to see you there!","false","Special","Beginner","","Event","Griffin Hall","","2",""
"1314","2026-03-05","6:00 PM","8:00 PM","NIghtCAR (game night) ✨","Join fellow NICAR attendees for an evening of games, puzzles, etc. IRE provides the board games, you provide the fun! Feel free to grab a snack and a beverage from the reception or from the hotel and join the fun.","true","Special","Beginner","","Event","White River D","","1",""
"1277","2026-03-06","7:45 AM","8:45 AM","Mentor program breakfast (invitation-only event)","If you signed up for the conference mentor program, come meet your match at this invitation-only breakfast.","false","Special","Beginner","","Event","Griffin Hall","","2",""
"1021","2026-03-06","9:00 AM","10:00 AM","Utilizing new police misconduct and employment databases","Learn about using new, groundbreaking databases to track police misconduct and employment histories: the Police Records Access Project in California, ACLU of West Virginia/Dragline's Police Accountability Dashboard, the New York Police Disciplinary Records database, and the National Police Index. This hands-on session will also briefly cover other related police data projects around the country. This session is good for those with some experience using spreadsheets. Attendees will need to bring their own laptop (no tablets) to participate in this class.","true","Demo","Beginner","Maheen Khan, Invisible Institute; Beryl Lipton, Democrat & Chronicle; Lisa Pickoff-White, California Reporting Project; Sam Stecklow, Invisible Institute; Kyle Vass, Dragline","Beat reporting, Local, Public records, Research, Tools & Tech, Story ideas","White River E","","1",""
"1075","2026-03-06","9:00 AM","10:00 AM","Tips to investigate influencers and live-streamers","This session centers around the tools used for three recent stories involving video analysis. The reporting subjects include a deep dive into political podcasters in the run-up to the 2024 U.S. Presidential Election and linking the advertisers propping up right-wing influencers. Through these case studies we will highlight tools to archive videos, inspect metadata, analyze transcripts, map guest networks, and detect text and objects in video. Come learn some new tools for your next investigation!","true","Panel","Beginner","Leon Yin, Bloomberg News","Beat reporting, Story ideas","White River D","","1",""
"1087","2026-03-06","9:00 AM","10:00 AM","Automating mass scraping with AI","This session will explore tools to create scrapers and structured data from websites with the help of LLMs. Scraping data off the web is not new for journalists, but what about when the data is spread out across hundreds of websites in dozens of formats? Writing and maintaining fleets of scrapers may have previously required a team of data journalists, but new methods allow us to use LLMs to analyze the structure of a website and automatically generate a working scraper. This means we can pursue stories involving more ambitious data collection on deadline. In this session, we will demonstrate a package we built at the Tow Center for Digital Journalism called ""Scraper Factory,"" which uses LLMs to write Python scrapers. We will discuss stories where we have used this approach and solicit input from the community on best practices and innovations with these new methods. This session is good for those who have a familiarity of the command line, basic scraping skills, and are wanting to work in Python. Laptops will be provided. You will need a GitHub account to participate.","false","Hands-on","Advanced","Tory Lysik, Tow Center at Columbia University; Dhrumil Mehta, Tow Center at Columbia University; C.J. Robinson, Tow Center at Columbia University","AI","104","OSX","1",""
"1089","2026-03-06","9:00 AM","10:00 AM","Using immigration data to tell stories in your community","There's no shortage of data that can help you tell local stories on the sprawling immigration beat, but the data are often scattered, inconsistent and come with lots of caveats. This hands-on session will walk you through telling a data-driven story on asylum rates in your city or state, from gathering the data to analyzing it. We'll also give you an overview of other immigration data sources to help you tell stories on how policies out of Washington impact your community - from immigration enforcement to the court system. This session's instructors are fluent in both Python and R. Code in both languages will be provided and instructors will be able to assist attendees following along in either language. The class will be taught in whichever language the majority of attendees vote for at the start of the session!","false","Demo","Beginner","Julia Ingram, CBS News; Joe Yerardi, The Philadelphia Inquirer","Beat reporting, Data analysis, Local, Public records, Story ideas","102","BYO","1",""
"1130","2026-03-06","9:00 AM","10:00 AM","Editing the machine: Fact-checking AI-assisted reporting in the newsroom","As AI tools move into daily reporting, the real challenge isn't keeping up with the hype, it's the editing. This session is focused on the real editorial challenges that come up when you're responsible for people, data, ethics, and deadlines all at once-and AI is ambient and often invisible. This isn't a heady conversation about the future of AI in journalism, ethics boards or tech tips. It's meant to focus on what's already changed and how that shows up in newsroom decision-making. The goal is to move beyond the abstract and talk about everyday editorial decisions. What feels different in copy review? In sourcing? In data analysis? Where do editors need to slow down, ask a different question, or reopen a framing that might have quietly solidified? This is about how editorial judgment evolves when AI is in the workflow.","true","Panel","Intermediate","Meghan Hoyer, The Washington Post; Angeliki Kastanis, Associated Press; Jennifer LaFleur, UC Berkeley School of Journalism","AI","White River B","","1",""
